lead_id,lead_source,total_time_spent,pages_visited,email_opened,last_activity,lead_score,converted
1,Cold Call,349,2,Yes,Clicked Ad,65,1
2,Cold Call,154,34,No,Downloaded Brochure,37,1
3,Social Media,166,7,Yes,Clicked Ad,53,0
4,Cold Call,152,38,Yes,Contacted Support,71,1
5,Cold Call,156,24,No,Submitted Form,64,1
6,Website,290,25,No,Submitted Form,26,0
7,Website,297,48,Yes,Downloaded Brochure,50,0
8,Social Media,430,5,No,Submitted Form,14,1
9,Website,437,47,Yes,Contacted Support,45,0
10,Email,312,14,Yes,Clicked Ad,68,0
11,Cold Call,334,34,Yes,Clicked Ad,48,1
12,Social Media,75,1,No,Clicked Ad,60,1
13,Email,256,6,No,Downloaded Brochure,29,0
14,Website,80,48,Yes,Submitted Form,91,0
15,Referral,463,11,Yes,Submitted Form,22,0
16,Cold Call,360,23,No,Contacted Support,54,1
17,Social Media,285,5,No,Submitted Form,28,1
18,Social Media,432,16,No,Downloaded Brochure,25,0
19,Email,96,37,Yes,Contacted Support,17,0
20,Email,16,6,Yes,Clicked Ad,29,0
21,Email,303,36,No,Downloaded Brochure,40,0
22,Website,135,25,No,Contacted Support,12,0
23,Referral,183,33,Yes,Downloaded Brochure,31,0
24,Email,86,34,No,Contacted Support,23,0
25,Social Media,153,31,Yes,Clicked Ad,93,0
26,Website,165,16,Yes,Submitted Form,50,0
27,Social Media,267,20,Yes,Clicked Ad,19,0
28,Social Media,82,18,No,Submitted Form,33,1
29,Website,179,19,No,Submitted Form,86,0
30,Cold Call,420,49,Yes,Submitted Form,50,0
31,Referral,251,42,Yes,Clicked Ad,37,1
32,Cold Call,395,41,No,Clicked Ad,80,0
33,Social Media,91,23,Yes,Downloaded Brochure,73,0
34,Cold Call,448,47,Yes,Contacted Support,87,1
35,Referral,496,8,No,Clicked Ad,31,0
36,Cold Call,37,34,No,Contacted Support,22,0
37,Cold Call,286,7,No,Downloaded Brochure,35,1
38,Website,229,29,No,Clicked Ad,28,1
39,Cold Call,377,19,Yes,Downloaded Brochure,55,0
40,Cold Call,413,45,No,Submitted Form,32,0
41,Website,17,17,No,Clicked Ad,81,0
42,Referral,57,41,Yes,Contacted Support,29,0
43,Referral,326,15,No,Submitted Form,21,0
44,Website,273,6,No,Clicked Ad,88,0
45,Social Media,471,29,Yes,Clicked Ad,13,0
46,Social Media,384,27,Yes,Clicked Ad,25,1
47,Email,459,37,No,Contacted Support,34,0
48,Referral,253,46,Yes,Clicked Ad,74,0
49,Referral,493,5,Yes,Downloaded Brochure,94,0
50,Referral,388,11,No,Contacted Support,78,0
51,Email,134,34,No,Contacted Support,66,0
52,Referral,262,23,No,Clicked Ad,99,0
53,Social Media,148,22,No,Downloaded Brochure,77,0
54,Email,347,40,Yes,Contacted Support,78,0
55,Social Media,71,28,Yes,Contacted Support,83,0
56,Referral,450,21,Yes,Downloaded Brochure,10,0
57,Cold Call,165,12,No,Contacted Support,32,0
58,Email,156,17,No,Downloaded Brochure,71,1
59,Website,107,1,Yes,Submitted Form,61,0
60,Website,245,24,Yes,Clicked Ad,84,0
61,Cold Call,386,19,Yes,Clicked Ad,88,0
62,Social Media,377,40,Yes,Submitted Form,54,1
63,Referral,452,17,No,Downloaded Brochure,46,0
64,Cold Call,159,20,Yes,Downloaded Brochure,66,1
65,Social Media,124,41,Yes,Downloaded Brochure,74,1
66,Website,42,26,Yes,Submitted Form,88,0
